service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
I4UISU,0,0,0,0,0,0,0,20161218,20170513
7E/5E SHOW SCH,0,0,0,0,0,0,0,20161218,20170513
N1 MF,0,0,0,0,0,0,0,20161218,20170513
GN3NONUISA EVE,0,0,0,0,0,0,0,20161218,20170513
T1UISU,0,0,0,0,0,0,0,20161218,20170513
I8-2 UIMF,0,0,0,0,0,0,0,20161218,20170513
BZ2 NOSCHMF,0,0,0,0,0,0,0,20161218,20170513
B3 SCHMF,0,0,0,0,0,0,0,20161218,20170513
5W#1 SHOW WED,0,0,0,0,0,0,0,20161218,20170513
Y6 SCH,0,0,0,0,0,0,0,20161218,20170513
3N#3 SHOW WED,0,0,0,0,0,0,0,20161218,20170513
6E SCH MTTF,0,0,0,0,0,0,0,20161218,20170513
LM2SU,0,0,0,0,0,0,0,20161218,20170513
BB1 MF,0,0,0,0,0,0,0,20161218,20170513
Y6 NOSCHMF,0,0,0,0,0,0,0,20161218,20170513
GN7 MF,0,0,0,0,0,0,0,20161218,20170513
R3 MF,0,0,0,0,0,0,0,20161218,20170513
T1NONUISA,0,0,0,0,0,0,0,20161218,20170513
P1 MF,0,0,0,0,0,0,0,20161218,20170513
3S/5W SHOW#2,0,0,0,0,0,0,0,20161218,20170513
I6UISA,0,0,0,0,0,0,0,20161218,20170513
GN4SA EVE,0,0,0,0,0,0,0,20161218,20170513
GN1 SU,0,0,0,0,0,0,0,20161218,20170513
GN4SA,0,0,0,0,0,0,0,20161218,20170513
GR1SA EVE,0,0,0,0,0,0,0,20161218,20170513
GR4 MF,0,0,0,0,0,0,0,20161218,20170513
I7 UIF,0,0,0,0,0,0,0,20161218,20170513
GN1SA EVE,0,0,0,0,0,0,0,20161218,20170513
GR2SA,0,0,0,0,0,0,0,20161218,20170513
GN2NONUISA EVE,0,0,0,0,0,0,0,20161218,20170513
BRONZE SCHWED BACKUP,0,0,0,0,0,0,0,20161218,20170513
Y5UISU,0,0,0,0,0,0,0,20161218,20170513
GREY MF SHOW,0,0,0,0,0,0,0,20161218,20170513
7W SHOW #2 SCH WED,0,0,0,0,0,0,0,20161218,20170513
L1 NOSCHMF,0,0,0,0,0,0,0,20161218,20170513
I8/4S SCHMTH NOUI,0,0,0,0,0,0,0,20161218,20170513
Y5NONUISU,0,0,0,0,0,0,0,20161218,20170513
T2NONUISA EVE,0,0,0,0,0,0,0,20161218,20170513
GN1 MF,0,0,0,0,0,0,0,20161218,20170513
GNX2 MF,0,0,0,0,0,0,0,20161218,20170513
Y5 MF,0,0,0,0,0,0,0,20161218,20170513
5E SHOW,0,0,0,0,0,0,0,20161218,20170513
G4 MF,0,0,0,0,0,0,0,20161218,20170513
ORANGE / GREEN SCH,0,0,0,0,0,0,0,20161218,20170513
GN2UISA,0,0,0,0,0,0,0,20161218,20170513
RUB1 MF,0,0,0,0,0,0,0,20161218,20170513
I1NONUISA EVE,0,0,0,0,0,0,0,20161218,20170513
LM2 MF,0,0,0,0,0,0,0,20161218,20170513
7W/7E/5E SHOW,0,0,0,0,0,0,0,20161218,20170513
7E SHOW WED,0,0,0,0,0,0,0,20161218,20170513
GNX1 SHOW WED,0,0,0,0,0,0,0,20161218,20170513
Y2UISU,0,0,0,0,0,0,0,20161218,20170513
5W SHOW #3,0,0,0,0,0,0,0,20161218,20170513
I4-3 UIF,0,0,0,0,0,0,0,20161218,20170513
G6 MF,0,0,0,0,0,0,0,20161218,20170513
9A SHOW,0,0,0,0,0,0,0,20161218,20170513
T1 UIMF,0,0,0,0,0,0,0,20161218,20170513
SV1NONUISA,0,0,0,0,0,0,0,20161218,20170513
SV4 NONUIMF,0,0,0,0,0,0,0,20161218,20170513
L1SU,0,0,0,0,0,0,0,20161218,20170513
I1 NONUIMF,0,0,0,0,0,0,0,20161218,20170513
I1-4 UIF,0,0,0,0,0,0,0,20161218,20170513
RUBY1SA,0,0,0,0,0,0,0,20161218,20170513
LM1SU,0,0,0,0,0,0,0,20161218,20170513
Y2NONUISA EVE,0,0,0,0,0,0,0,20161218,20170513
I5UISA,0,0,0,0,0,0,0,20161218,20170513
G1 MF,0,0,0,0,0,0,0,20161218,20170513
I6 UIMF,0,0,0,0,0,0,0,20161218,20170513
7E SHOW#1 WED,0,0,0,0,0,0,0,20161218,20170513
I8/4S SCH UI,0,0,0,0,0,0,0,20161218,20170513
RUB2 SCH,0,0,0,0,0,0,0,20161218,20170513
Y7 UIMTH,0,0,0,0,0,0,0,20161218,20170513
7W SHOW SCH MTTF,0,0,0,0,0,0,0,20161218,20170513
GN2 SU,0,0,0,0,0,0,0,20161218,20170513
I5 UIF,0,0,0,0,0,0,0,20161218,20170513
I5-2 UIF,0,0,0,0,0,0,0,20161218,20170513
B2 MF,0,0,0,0,0,0,0,20161218,20170513
9A SHOW SCHWED,0,0,0,0,0,0,0,20161218,20170513
Y2NONUISU,0,0,0,0,0,0,0,20161218,20170513
GN4 SU,0,0,0,0,0,0,0,20161218,20170513
GN2NONUISA,0,0,0,0,0,0,0,20161218,20170513
GR3 UIMF,0,0,0,0,0,0,0,20161218,20170513
GR2SA EVE,0,0,0,0,0,0,0,20161218,20170513
R3SA,0,0,0,0,0,0,0,20161218,20170513
I2 UIMTH,0,0,0,0,0,0,0,20161218,20170513
T2NONUISA,0,0,0,0,0,0,0,20161218,20170513
SV2 UIMTH,0,0,0,0,0,0,0,20161218,20170513
Y4SA EVE,0,0,0,0,0,0,0,20161218,20170513
3S / 5W SHOW,0,0,0,0,0,0,0,20161218,20170513
GR4 SU,0,0,0,0,0,0,0,20161218,20170513
I5UISU,0,0,0,0,0,0,0,20161218,20170513
Y4 MF,0,0,0,0,0,0,0,20161218,20170513
Y1SA EVE,0,0,0,0,0,0,0,20161218,20170513
GN8 NOSCHMF,0,0,0,0,0,0,0,20161218,20170513
GN8 BACKUP,0,0,0,0,0,0,0,20161218,20170513
SRE1 SCHMF,0,0,0,0,0,0,0,20161218,20170513
GR3 SA EVE,0,0,0,0,0,0,0,20161218,20170513
I8/4S SCHWED NOUI,0,0,0,0,0,0,0,20161218,20170513
Y4SU,0,0,0,0,0,0,0,20161218,20170513
Y5UISA,0,0,0,0,0,0,0,20161218,20170513
I8UISA,0,0,0,0,0,0,0,20161218,20170513
5W #1 SHOW SCH,0,0,0,0,0,0,0,20161218,20170513
T4 UIMF,0,0,0,0,0,0,0,20161218,20170513
GN5 MF,0,0,0,0,0,0,0,20161218,20170513
Y3UIMF,0,0,0,0,0,0,0,20161218,20170513
O1 MF,0,0,0,0,0,0,0,20161218,20170513
I7-2 UIF,0,0,0,0,0,0,0,20161218,20170513
I6UISU,0,0,0,0,0,0,0,20161218,20170513
I5 UIMTH,0,0,0,0,0,0,0,20161218,20170513
5W #2 SHOW SCH,0,0,0,0,0,0,0,20161218,20170513
3N#3 SHOW,0,0,0,0,0,0,0,20161218,20170513
BB3 MF,0,0,0,0,0,0,0,20161218,20170513
1S SHOW WED,0,0,0,0,0,0,0,20161218,20170513
Y1SA,0,0,0,0,0,0,0,20161218,20170513
I8UISU,0,0,0,0,0,0,0,20161218,20170513
GN6 NOSCHMF,0,0,0,0,0,0,0,20161218,20170513
RV1 MF,0,0,0,0,0,0,0,20161218,20170513
I8/4S SCHWED,0,0,0,0,0,0,0,20161218,20170513
I2-2 UIF,0,0,0,0,0,0,0,20161218,20170513
N3 NOSCHMF,0,0,0,0,0,0,0,20161218,20170513
CENTRAL EX WED,0,0,0,0,0,0,0,20161218,20170513
1S SHOW,0,0,0,0,0,0,0,20161218,20170513
GR5SA,0,0,0,0,0,0,0,20161218,20170513
GR2 SU,0,0,0,0,0,0,0,20161218,20170513
T1UISA,0,0,0,0,0,0,0,20161218,20170513
T3 NONUIMF,0,0,0,0,0,0,0,20161218,20170513
G5 MF,0,0,0,0,0,0,0,20161218,20170513
I6-4 UIF,0,0,0,0,0,0,0,20161218,20170513
N3 SCHWED,0,0,0,0,0,0,0,20161218,20170513
I2UISU,0,0,0,0,0,0,0,20161218,20170513
I8/4S NOSCH NOUI,0,0,0,0,0,0,0,20161218,20170513
Y3SU,0,0,0,0,0,0,0,20161218,20170513
I4UISA,0,0,0,0,0,0,0,20161218,20170513
Y3SA EVE,0,0,0,0,0,0,0,20161218,20170513
SV1UISU,0,0,0,0,0,0,0,20161218,20170513
SV4 UI NOSCH,0,0,0,0,0,0,0,20161218,20170513
9A SHOW WED,0,0,0,0,0,0,0,20161218,20170513
1N SHOW WED,0,0,0,0,0,0,0,20161218,20170513
I4-3 UIMTH,0,0,0,0,0,0,0,20161218,20170513
R4 MF,0,0,0,0,0,0,0,20161218,20170513
GR2 MF,0,0,0,0,0,0,0,20161218,20170513
I1NONUISU,0,0,0,0,0,0,0,20161218,20170513
GN2 MF,0,0,0,0,0,0,0,20161218,20170513
GN3 NOSCHMF,0,0,0,0,0,0,0,20161218,20170513
B4 NOSCHMF,0,0,0,0,0,0,0,20161218,20170513
N2 MF,0,0,0,0,0,0,0,20161218,20170513
BZ1 NOSCHMF,0,0,0,0,0,0,0,20161218,20170513
BZ1 SCHMF,0,0,0,0,0,0,0,20161218,20170513
GNX1 SCHMF,0,0,0,0,0,0,0,20161218,20170513
BZ2 SCHMTTF,0,0,0,0,0,0,0,20161218,20170513
Y5NONUISA,0,0,0,0,0,0,0,20161218,20170513
P2 NOSCHMF,0,0,0,0,0,0,0,20161218,20170513
6E/7E SHOW SCHWED,0,0,0,0,0,0,0,20161218,20170513
T2 UIMTH,0,0,0,0,0,0,0,20161218,20170513
I3-2 UIF,0,0,0,0,0,0,0,20161218,20170513
I1UIMF,0,0,0,0,0,0,0,20161218,20170513
Y2 MF,0,0,0,0,0,0,0,20161218,20170513
T1 NONUIMF,0,0,0,0,0,0,0,20161218,20170513
B1 MF,0,0,0,0,0,0,0,20161218,20170513
GNX4 MF,0,0,0,0,0,0,0,20161218,20170513
BZ2 SCHWED,0,0,0,0,0,0,0,20161218,20170513
P2 SCHMF,0,0,0,0,0,0,0,20161218,20170513
GN8 SCH MTTF,0,0,0,0,0,0,0,20161218,20170513
GN1SA,0,0,0,0,0,0,0,20161218,20170513
I1UISU,0,0,0,0,0,0,0,20161218,20170513
T2UISA,0,0,0,0,0,0,0,20161218,20170513
GNX3 MF,0,0,0,0,0,0,0,20161218,20170513
7W / 5E #2 WED,0,0,0,0,0,0,0,20161218,20170513
LM1SA EVE,0,0,0,0,0,0,0,20161218,20170513
T2NONUISU,0,0,0,0,0,0,0,20161218,20170513
Y4SA,0,0,0,0,0,0,0,20161218,20170513
B4 SCH WED,0,0,0,0,0,0,0,20161218,20170513
SV4 UIMF,0,0,0,0,0,0,0,20161218,20170513
I2-3 UIF,0,0,0,0,0,0,0,20161218,20170513
GR4SA EVE,0,0,0,0,0,0,0,20161218,20170513
5E#3 SHOW WED,0,0,0,0,0,0,0,20161218,20170513
10W UHS UMS,0,0,0,0,0,0,0,20161218,20170513
9A/5E SHOW SCH MTTF,0,0,0,0,0,0,0,20161218,20170513
L1SA,0,0,0,0,0,0,0,20161218,20170513
Y3SA,0,0,0,0,0,0,0,20161218,20170513
BA2 SCHMF,0,0,0,0,0,0,0,20161218,20170513
R1SA,0,0,0,0,0,0,0,20161218,20170513
I2 UIF,0,0,0,0,0,0,0,20161218,20170513
GN3 SU,0,0,0,0,0,0,0,20161218,20170513
T3 UIMF,0,0,0,0,0,0,0,20161218,20170513
T1NONUISA EVE,0,0,0,0,0,0,0,20161218,20170513
GR1SA,0,0,0,0,0,0,0,20161218,20170513
GR1 NOSCHMF,0,0,0,0,0,0,0,20161218,20170513
