service_id,date,exception_type
I4UISU,20170115,1
I4UISU,20170122,1
I4UISU,20170129,1
I4UISU,20170205,1
I4UISU,20170212,1
I4UISU,20170219,1
I4UISU,20170226,1
I4UISU,20170305,1
I4UISU,20170312,1
I4UISU,20170326,1
I4UISU,20170402,1
I4UISU,20170409,1
I4UISU,20170423,1
I4UISU,20170430,1
I4UISU,20170507,1
7E/5E SHOW SCH,20161219,1
7E/5E SHOW SCH,20161220,1
7E/5E SHOW SCH,20170103,1
7E/5E SHOW SCH,20170105,1
7E/5E SHOW SCH,20170106,1
7E/5E SHOW SCH,20170109,1
7E/5E SHOW SCH,20170110,1
7E/5E SHOW SCH,20170112,1
7E/5E SHOW SCH,20170113,1
7E/5E SHOW SCH,20170117,1
7E/5E SHOW SCH,20170119,1
7E/5E SHOW SCH,20170120,1
7E/5E SHOW SCH,20170123,1
7E/5E SHOW SCH,20170124,1
7E/5E SHOW SCH,20170126,1
7E/5E SHOW SCH,20170127,1
7E/5E SHOW SCH,20170130,1
7E/5E SHOW SCH,20170131,1
7E/5E SHOW SCH,20170202,1
7E/5E SHOW SCH,20170203,1
7E/5E SHOW SCH,20170206,1
7E/5E SHOW SCH,20170207,1
7E/5E SHOW SCH,20170209,1
7E/5E SHOW SCH,20170210,1
7E/5E SHOW SCH,20170213,1
7E/5E SHOW SCH,20170214,1
7E/5E SHOW SCH,20170216,1
7E/5E SHOW SCH,20170217,1
7E/5E SHOW SCH,20170221,1
7E/5E SHOW SCH,20170223,1
7E/5E SHOW SCH,20170224,1
7E/5E SHOW SCH,20170227,1
7E/5E SHOW SCH,20170228,1
7E/5E SHOW SCH,20170302,1
7E/5E SHOW SCH,20170303,1
7E/5E SHOW SCH,20170306,1
7E/5E SHOW SCH,20170307,1
7E/5E SHOW SCH,20170309,1
7E/5E SHOW SCH,20170310,1
7E/5E SHOW SCH,20170313,1
7E/5E SHOW SCH,20170314,1
7E/5E SHOW SCH,20170316,1
7E/5E SHOW SCH,20170327,1
7E/5E SHOW SCH,20170328,1
7E/5E SHOW SCH,20170330,1
7E/5E SHOW SCH,20170331,1
7E/5E SHOW SCH,20170403,1
7E/5E SHOW SCH,20170404,1
7E/5E SHOW SCH,20170406,1
7E/5E SHOW SCH,20170407,1
7E/5E SHOW SCH,20170410,1
7E/5E SHOW SCH,20170411,1
7E/5E SHOW SCH,20170413,1
7E/5E SHOW SCH,20170414,1
7E/5E SHOW SCH,20170417,1
7E/5E SHOW SCH,20170418,1
7E/5E SHOW SCH,20170420,1
7E/5E SHOW SCH,20170421,1
7E/5E SHOW SCH,20170424,1
7E/5E SHOW SCH,20170425,1
7E/5E SHOW SCH,20170427,1
7E/5E SHOW SCH,20170428,1
7E/5E SHOW SCH,20170501,1
7E/5E SHOW SCH,20170502,1
7E/5E SHOW SCH,20170504,1
7E/5E SHOW SCH,20170505,1
7E/5E SHOW SCH,20170508,1
7E/5E SHOW SCH,20170509,1
7E/5E SHOW SCH,20170511,1
7E/5E SHOW SCH,20170512,1
N1 MF,20161219,1
N1 MF,20161220,1
N1 MF,20161221,1
N1 MF,20161222,1
N1 MF,20161223,1
N1 MF,20161226,1
N1 MF,20161227,1
N1 MF,20161228,1
N1 MF,20161229,1
N1 MF,20161230,1
N1 MF,20170102,1
