route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
TEAL,T4 UIMF,[@14.0.51708725@][4][1277756770140]/0__T4_UIMF,WEST - ILLINOIS TERMINAL,1,T4 UIMF,TEAL 26
TEAL,T4 UIMF,[@14.0.51708725@][4][1275505811421]/0__T4_UIMF,WEST - ILLINOIS TERMINAL,1,T4 UIMF,TEAL 23
TEAL,T4 UIMF,[@7.0.41893871@][3][1243541396687]/72__T4_UIMF,EAST - ORCHARD DOWNS,0,T4 UIMF,12E TEAL 13
TEAL,T4 UIMF,[@7.0.41893871@][4][1243540851671]/4__T4_UIMF,WEST - ILLINOIS TERMINAL,1,T4 UIMF,12W TEAL 12
TEAL,T4 UIMF,[@7.0.41893871@][3][1243541396687]/74__T4_UIMF,EAST - ORCHARD DOWNS,0,T4 UIMF,12E TEAL 13
TEAL,T4 UIMF,[@7.0.41893871@][4][1243540851671]/6__T4_UIMF,WEST - ILLINOIS TERMINAL,1,T4 UIMF,12W TEAL 12
TEAL,T4 UIMF,[@7.0.41893871@][3][1243541488843]/110__T4_UIMF,EAST - PAR ,0,T4 UIMF,TEAL 34
TEAL,T4 UIMF,[@14.0.51708725@][4][1275506079140]/6__T4_UIMF,WEST - ILLINOIS TERMINAL,1,T4 UIMF,TEAL 23
TEAL,T4 UIMF,[@7.0.41893871@][3][1243541396687]/79__T4_UIMF,EAST - ORCHARD DOWNS,0,T4 UIMF,12E TEAL 13
TEAL,T4 UIMF,[@7.0.41893871@][4][1243540851671]/11__T4_UIMF,WEST - ILLINOIS TERMINAL,1,T4 UIMF,12W TEAL 12
TEAL,T4 UIMF,[@7.0.41893871@][3][1243541396687]/81__T4_UIMF,EAST - ORCHARD DOWNS,0,T4 UIMF,12E TEAL 13
TEAL,T4 UIMF,[@7.0.41893871@][4][1243540851671]/13__T4_UIMF,WEST - ILLINOIS TERMINAL,1,T4 UIMF,12W TEAL 12
TEAL,T4 UIMF,[@7.0.41893871@][3][1243541396687]/83__T4_UIMF,EAST - ORCHARD DOWNS,0,T4 UIMF,12E TEAL 13
TEAL,T4 UIMF,[@7.0.41893871@][4][1243540851671]/15__T4_UIMF,WEST - ILLINOIS TERMINAL,1,T4 UIMF,12W TEAL 12
TEAL,T4 UIMF,[@7.0.41893871@][3][1243541488843]/119__T4_UIMF,EAST - PAR ,0,T4 UIMF,TEAL 34
TEAL,T4 UIMF,[@14.0.51708725@][4][1275506079140]/12__T4_UIMF,WEST - ILLINOIS TERMINAL,1,T4 UIMF,TEAL 23
TEAL,T4 UIMF,[@7.0.41893871@][3][1243541396687]/88__T4_UIMF,EAST - ORCHARD DOWNS,0,T4 UIMF,12E TEAL 13
TEAL,T4 UIMF,[@7.0.41893871@][4][1243540851671]/20__T4_UIMF,WEST - ILLINOIS TERMINAL,1,T4 UIMF,12W TEAL 12
TEAL,T4 UIMF,[@7.0.41893871@][3][1243541396687]/90__T4_UIMF,EAST - ORCHARD DOWNS,0,T4 UIMF,12E TEAL 13
TEAL,T4 UIMF,[@7.0.41893871@][4][1243540851671]/22__T4_UIMF,WEST - ILLINOIS TERMINAL,1,T4 UIMF,12W TEAL 12
TEAL,T4 UIMF,[@7.0.41893871@][3][1243541396687]/92__T4_UIMF,EAST - ORCHARD DOWNS,0,T4 UIMF,12E TEAL 13
TEAL,T4 UIMF,[@7.0.41893871@][4][1243540851671]/24__T4_UIMF,WEST - ILLINOIS TERMINAL,1,T4 UIMF,12W TEAL 12
TEAL,T4 UIMF,[@7.0.41893871@][3][1243541488843]/128__T4_UIMF,EAST - PAR ,0,T4 UIMF,TEAL 34
TEAL,T4 UIMF,[@14.0.51708725@][4][1275506123875]/18__T4_UIMF,WEST - ILLINOIS TERMINAL,1,T4 UIMF,TEAL 23
TEAL,T4 UIMF,[@7.0.41893871@][3][1243541396687]/97__T4_UIMF,EAST - ORCHARD DOWNS,0,T4 UIMF,12E TEAL 13
TEAL,T4 UIMF,[@7.0.41893871@][4][1243540851671]/29__T4_UIMF,WEST - ILLINOIS TERMINAL,1,T4 UIMF,12W TEAL 12
TEAL,T4 UIMF,[@7.0.41893871@][3][1243541396687]/99__T4_UIMF,EAST - ORCHARD DOWNS,0,T4 UIMF,12E TEAL 13
TEAL,T4 UIMF,[@7.0.41893871@][4][1243540851671]/31__T4_UIMF,WEST - ILLINOIS TERMINAL,1,T4 UIMF,12W TEAL 12
TEAL,T4 UIMF,[@7.0.41893871@][3][1243541396687]/101__T4_UIMF,EAST - ORCHARD DOWNS,0,T4 UIMF,12E TEAL 13
TEAL,T4 UIMF,[@7.0.41893871@][4][1243540851671]/33__T4_UIMF,WEST - ILLINOIS TERMINAL,1,T4 UIMF,12W TEAL 12
TEAL,T4 UIMF,[@7.0.41893871@][3][1243541488843]/137__T4_UIMF,EAST - ORCHARD DOWNS,0,T4 UIMF,12E TEAL 13
RED SATURDAY,R1SA,R1SATPO__R1SA,C - MEIJER,0,R1SA,R1SATPO
RED SATURDAY,R1SA,20RED001__R1SA,C - MEIJER,0,R1SA,20C GW->MP
RED SATURDAY,R1SA,20RED002__R1SA,U - PHILO & SILVER,1,R1SA,20U->PS
RED SATURDAY,R1SA,20RED003__R1SA,C - MEIJER,0,R1SA,20C->MP
RED SATURDAY,R1SA,20RED004__R1SA,U - PHILO & SILVER,1,R1SA,20U->PS
RED SATURDAY,R1SA,20RED005__R1SA,C - MEIJER,0,R1SA,20C->MP
RED SATURDAY,R1SA,20RED006__R1SA,U - PHILO & SILVER,1,R1SA,20U->PS
RED SATURDAY,R1SA,20RED007__R1SA,C - MEIJER,0,R1SA,20C->MP
RED SATURDAY,R1SA,20RED008__R1SA,U - PHILO & SILVER,1,R1SA,20U->PS
RED SATURDAY,R1SA,20RED009__R1SA,C - MEIJER,0,R1SA,20C->MP
RED SATURDAY,R1SA,20RED010__R1SA,U - PHILO & SILVER,1,R1SA,20U->PS
RED SATURDAY,R1SA,20RED011__R1SA,C - MEIJER,0,R1SA,20C->MP
RED SATURDAY,R1SA,20RED012__R1SA,U - PHILO & SILVER,1,R1SA,20U->PS
RED SATURDAY,R1SA,20RED013__R1SA,C - MEIJER,0,R1SA,20C->MP
RED SATURDAY,R1SA,20RED014__R1SA,U - PHILO & SILVER,1,R1SA,20U->PS
RED SATURDAY,R1SA,20RED015__R1SA,C - MEIJER,0,R1SA,20C->MP
RED SATURDAY,R1SA,20RED016__R1SA,U - ILLINI UNION,1,R1SA,20U ->IU
BRONZE,T3 NONUIMF,[@7.0.41201636@][4][1248385296531]/1__T3_NONUIMF,WEST - ORCHARD DOWNS,1,T3 NONUIMF,BRONZE 6
BRONZE,T3 NONUIMF,[@7.0.41201636@][4][1243606400265]/3__T3_NONUIMF,WEST - ORCHARD DOWNS,1,T3 NONUIMF,8W BRONZE 5
TEAL,T3 NONUIMF,[@7.0.41893871@][4][1243540851671]/2__T3_NONUIMF,WEST - ILLINOIS TERMINAL,1,T3 NONUIMF,12W TEAL 12
TEAL,T3 NONUIMF,[@7.0.41893871@][3][1243541396687]/72__T3_NONUIMF,EAST - ORCHARD DOWNS,0,T3 NONUIMF,12E TEAL 13
TEAL,T3 NONUIMF,[@7.0.41893871@][4][1243540851671]/4__T3_NONUIMF,WEST - ILLINOIS TERMINAL,1,T3 NONUIMF,12W TEAL 12
TEAL,T3 NONUIMF,[@7.0.41893871@][3][1243541396687]/74__T3_NONUIMF,EAST - ORCHARD DOWNS,0,T3 NONUIMF,12E TEAL 13
TEAL,T3 NONUIMF,[@7.0.41893871@][4][1243540851671]/6__T3_NONUIMF,WEST - ILLINOIS TERMINAL,1,T3 NONUIMF,12W TEAL 12
TEAL,T3 NONUIMF,[@7.0.41893871@][3][1243541396687]/76__T3_NONUIMF,EAST - ORCHARD DOWNS,0,T3 NONUIMF,12E TEAL 13
TEAL,T3 NONUIMF,[@7.0.41893871@][4][1243540851671]/8__T3_NONUIMF,WEST - ILLINOIS TERMINAL,1,T3 NONUIMF,12W TEAL 12
TEAL,T3 NONUIMF,[@7.0.41893871@][3][1243541396687]/78__T3_NONUIMF,EAST - ORCHARD DOWNS,0,T3 NONUIMF,12E TEAL 13
TEAL,T3 NONUIMF,[@7.0.41893871@][4][1243540851671]/10__T3_NONUIMF,WEST - ILLINOIS TERMINAL,1,T3 NONUIMF,12W TEAL 12
TEAL,T3 NONUIMF,[@7.0.41893871@][3][1243541396687]/80__T3_NONUIMF,EAST - ORCHARD DOWNS,0,T3 NONUIMF,12E TEAL 13
TEAL,T3 NONUIMF,[@7.0.41893871@][4][1243540851671]/12__T3_NONUIMF,WEST - ILLINOIS TERMINAL,1,T3 NONUIMF,12W TEAL 12
TEAL,T3 NONUIMF,[@7.0.41893871@][3][1243541396687]/82__T3_NONUIMF,EAST - ORCHARD DOWNS,0,T3 NONUIMF,12E TEAL 13
TEAL,T3 NONUIMF,[@7.0.41893871@][4][1243540851671]/14__T3_NONUIMF,WEST - ILLINOIS TERMINAL,1,T3 NONUIMF,12W TEAL 12
TEAL,T3 NONUIMF,[@7.0.41893871@][3][1243541396687]/84__T3_NONUIMF,EAST - ORCHARD DOWNS,0,T3 NONUIMF,12E TEAL 13
TEAL,T3 NONUIMF,[@7.0.41893871@][4][1243540851671]/16__T3_NONUIMF,WEST - ILLINOIS TERMINAL,1,T3 NONUIMF,12W TEAL 12
TEAL,T3 NONUIMF,[@7.0.41893871@][3][1243541396687]/86__T3_NONUIMF,EAST - ORCHARD DOWNS,0,T3 NONUIMF,12E TEAL 13
TEAL,T3 NONUIMF,[@7.0.41893871@][4][1243540851671]/18__T3_NONUIMF,WEST - ILLINOIS TERMINAL,1,T3 NONUIMF,12W TEAL 12
TEAL,T3 NONUIMF,[@7.0.41893871@][3][1243541396687]/88__T3_NONUIMF,EAST - ORCHARD DOWNS,0,T3 NONUIMF,12E TEAL 13
TEAL,T3 NONUIMF,[@7.0.41893871@][4][1243540851671]/20__T3_NONUIMF,WEST - ILLINOIS TERMINAL,1,T3 NONUIMF,12W TEAL 12
TEAL,T3 NONUIMF,[@7.0.41893871@][3][1243541396687]/90__T3_NONUIMF,EAST - ORCHARD DOWNS,0,T3 NONUIMF,12E TEAL 13
TEAL,T3 NONUIMF,[@7.0.41893871@][4][1243540851671]/22__T3_NONUIMF,WEST - ILLINOIS TERMINAL,1,T3 NONUIMF,12W TEAL 12
TEAL,T3 NONUIMF,[@7.0.41893871@][3][1243541396687]/92__T3_NONUIMF,EAST - ORCHARD DOWNS,0,T3 NONUIMF,12E TEAL 13
TEAL,T3 NONUIMF,[@7.0.41893871@][4][1243540851671]/24__T3_NONUIMF,WEST - ILLINOIS TERMINAL,1,T3 NONUIMF,12W TEAL 12
TEAL,T3 NONUIMF,[@7.0.41893871@][3][1243541396687]/94__T3_NONUIMF,EAST - ORCHARD DOWNS,0,T3 NONUIMF,12E TEAL 13
TEAL,T3 NONUIMF,[@7.0.41893871@][4][1243540851671]/26__T3_NONUIMF,WEST - ILLINOIS TERMINAL,1,T3 NONUIMF,12W TEAL 12
TEAL,T3 NONUIMF,[@7.0.41893871@][3][1243541396687]/96__T3_NONUIMF,EAST - ORCHARD DOWNS,0,T3 NONUIMF,12E TEAL 13
TEAL,T3 NONUIMF,[@7.0.41893871@][4][1243540851671]/28__T3_NONUIMF,WEST - ILLINOIS TERMINAL,1,T3 NONUIMF,12W TEAL 12
TEAL,T3 NONUIMF,[@7.0.41893871@][3][1243541396687]/98__T3_NONUIMF,EAST - ORCHARD DOWNS,0,T3 NONUIMF,12E TEAL 13
TEAL,T3 NONUIMF,[@7.0.41893871@][4][1243540851671]/30__T3_NONUIMF,WEST - ILLINOIS TERMINAL,1,T3 NONUIMF,12W TEAL 12
TEAL,T3 NONUIMF,[@7.0.41893871@][3][1243541396687]/100__T3_NONUIMF,EAST - ORCHARD DOWNS,0,T3 NONUIMF,12E TEAL 13
TEAL,T3 NONUIMF,[@7.0.41893871@][4][1243540851671]/32__T3_NONUIMF,WEST - ILLINOIS TERMINAL,1,T3 NONUIMF,12W TEAL 12
TEAL,T3 NONUIMF,[@7.0.41893871@][3][1243541396687]/102__T3_NONUIMF,EAST - ORCHARD DOWNS,0,T3 NONUIMF,12E TEAL 13
TEAL,T3 NONUIMF,[@7.0.41893871@][4][1243540851671]/34__T3_NONUIMF,WEST - ILLINOIS TERMINAL,1,T3 NONUIMF,12W TEAL 12
TEAL,T3 NONUIMF,[@7.0.41893871@][3][1243541396687]/104__T3_NONUIMF,EAST - ORCHARD DOWNS,0,T3 NONUIMF,12E TEAL 13
TEAL EVENING,T3 NONUIMF,[@7.0.41903462@][4][1243545628328]/0__T3_NONUIMF,WEST - ILLINOIS TERMINAL,1,T3 NONUIMF,TEAL EVENING 12
TEAL EVENING,T3 NONUIMF,[@7.0.41903462@][3][1243545697437]/15__T3_NONUIMF,EAST - ORCHARD DOWNS,0,T3 NONUIMF,TEAL EVENING 13
TEAL EVENING,T3 NONUIMF,[@7.0.41903462@][4][1243545628328]/2__T3_NONUIMF,WEST - ILLINOIS TERMINAL,1,T3 NONUIMF,TEAL EVENING 12
TEAL EVENING,T3 NONUIMF,[@7.0.41903462@][3][1243545697437]/17__T3_NONUIMF,EAST - ORCHARD DOWNS,0,T3 NONUIMF,TEAL EVENING 13
TEAL EVENING,T3 NONUIMF,[@7.0.41903462@][4][1243545628328]/4__T3_NONUIMF,WEST - ILLINOIS TERMINAL,1,T3 NONUIMF,TEAL EVENING 12
TEAL EVENING,T3 NONUIMF,[@7.0.41903462@][3][1243545697437]/19__T3_NONUIMF,EAST - ORCHARD DOWNS,0,T3 NONUIMF,TEAL EVENING 13
TEAL EVENING,T3 NONUIMF,[@7.0.41903462@][4][1243545628328]/6__T3_NONUIMF,WEST - ILLINOIS TERMINAL,1,T3 NONUIMF,TEAL EVENING 12
TEAL EVENING,T3 NONUIMF,[@7.0.41903462@][3][1243545697437]/21__T3_NONUIMF,EAST - ORCHARD DOWNS,0,T3 NONUIMF,TEAL EVENING 13
TEAL EVENING,T3 NONUIMF,[@7.0.41903462@][4][1243545628328]/8__T3_NONUIMF,WEST - ILLINOIS TERMINAL,1,T3 NONUIMF,TEAL EVENING 12
TEAL EVENING,T3 NONUIMF,[@7.0.41903462@][3][1243545697437]/23__T3_NONUIMF,EAST - ORCHARD DOWNS,0,T3 NONUIMF,TEAL EVENING 13
TEAL EVENING,T3 NONUIMF,[@7.0.41903462@][4][1243545628328]/10__T3_NONUIMF,WEST - ILLINOIS TERMINAL,1,T3 NONUIMF,TEAL EVENING 12
TEAL EVENING,T3 NONUIMF,[@7.0.41903462@][3][1243545697437]/25__T3_NONUIMF,EAST - ORCHARD DOWNS,0,T3 NONUIMF,TEAL EVENING 14
TEAL EVENING,T3 NONUIMF,[@7.0.41903462@][4][1243545654281]/12__T3_NONUIMF,WEST - ILLINOIS TERMINAL,1,T3 NONUIMF,TEAL EVENING 12
TEAL EVENING,T3 NONUIMF,[@7.0.41903462@][3][1243545711640]/27__T3_NONUIMF,EAST - ORCHARD DOWNS,0,T3 NONUIMF,TEAL EVENING 13
TEAL EVENING,T3 NONUIMF,[@7.0.41903462@][4][1243545654281]/14__T3_NONUIMF,WEST - ILLINOIS TERMINAL,1,T3 NONUIMF,TEAL EVENING 12
TEAL EVENING,T3 NONUIMF,[@7.0.41903462@][3][1243545711640]/29__T3_NONUIMF,EAST - ORCHARD DOWNS,0,T3 NONUIMF,TEAL EVENING 13
GREEN,GN1 MF,GN1PO__GN1_MF,WEST - ILLINI UNION,1,GN1 MF,GN1PO
GREEN,GN1 MF,1GN500__GN1_MF,WEST - COUNTRY FAIR - HOLIDAY PARK,1,GN1 MF,5WIUE->
GREEN,GN1 MF,[@14.0.51573013@][3][1284041816250]/0__GN1_MF,EAST - MAIN & BRADY,0,GN1 MF,[@15.0.68508734@]57
GREEN,GN1 MF,[@15.0.68508734@][3][1375908093213]/0__GN1_MF,EAST - MAIN & BRADY,0,GN1 MF,[@15.0.68508734@]58
GREEN,GN1 MF,[@14.0.51573013@][3][1284041844000]/1__GN1_MF,EAST - MAIN & BRADY,0,GN1 MF,GREEN 37
